Sampling rate: 1000Hz, SamplingInterval: 1ms
Type, Description, Position, Length, Channel
Stimulus, S 25, 201, 1, All
Stimulus, S 20, 1501, 1, All
Stimulus, S 37, 2801, 1, All
Stimulus, S 11, 4101, 1, All
Stimulus, S 13, 5401, 1, All
Stimulus, S 24, 6701, 1, All
Stimulus, S 15, 8001, 1, All
Stimulus, S 14, 9301, 1, All
Stimulus, S  2, 10601, 1, All
Stimulus, S  1, 11901, 1, All
Stimulus, S 49, 13201, 1, All
Stimulus, S 30, 14501, 1, All
Stimulus, S 27, 15801, 1, All
Stimulus, S  5, 17101, 1, All
Stimulus, S 29, 18401, 1, All
Stimulus, S  9, 19701, 1, All
Stimulus, S 16, 21001, 1, All
Stimulus, S 38, 22301, 1, All
Stimulus, S 22, 23601, 1, All
Stimulus, S 28, 24901, 1, All
Stimulus, S 36, 26201, 1, All
Stimulus, S 23, 27501, 1, All
Stimulus, S 42, 28801, 1, All
Stimulus, S 21, 30101, 1, All
Stimulus, S 50, 31401, 1, All
Stimulus, S 34, 32701, 1, All
Stimulus, S 44, 34001, 1, All
Stimulus, S 31, 35301, 1, All
Stimulus, S 40, 36601, 1, All
Stimulus, S 12, 37901, 1, All
Stimulus, S  8, 39201, 1, All
Stimulus, S 26, 40501, 1, All
Stimulus, S 45, 41801, 1, All
Stimulus, S 19, 43101, 1, All
Stimulus, S 46, 44401, 1, All
Stimulus, S 10, 45701, 1, All
Stimulus, S 48, 47001, 1, All
Stimulus, S 41, 48301, 1, All
Stimulus, S 43, 49601, 1, All
Stimulus, S 47, 50901, 1, All
Stimulus, S 33, 52201, 1, All
Stimulus, S  7, 53501, 1, All
Stimulus, S 32, 54801, 1, All
Stimulus, S  6, 56101, 1, All
Stimulus, S 35, 57401, 1, All
Stimulus, S 17, 58701, 1, All
Stimulus, S 39, 60001, 1, All
Stimulus, S 18, 61301, 1, All
Stimulus, S  4, 62601, 1, All
Stimulus, S  3, 63901, 1, All
